,,,,,Crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE/UT,District,Year,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
PUNJAB,MUKTSAR,2002,18,28,1,8,0,8,8,1,7,1,0,3,49,38,11,27,1,16,46,2,0,121,8,3,0,13,0,36,66,466
PUNJAB,NAWAN SHAHR,2002,22,9,1,8,0,8,16,11,5,1,2,3,43,69,24,45,0,3,93,1,0,167,7,5,0,31,0,73,111,665
PUNJAB,PATIALA,2002,46,48,4,18,0,18,41,29,12,0,7,7,234,316,146,170,0,32,243,5,0,384,14,45,0,119,0,390,1243,3196
PUNJAB,ROPAR,2002,27,13,3,6,0,6,29,6,23,0,3,1,85,135,67,68,0,16,112,1,2,117,6,17,6,25,0,199,567,1370
PUNJAB,SANGRUR,2002,42,37,0,14,0,14,23,17,6,6,8,7,116,169,48,121,0,25,133,2,4,221,6,19,4,52,0,113,401,1402
PUNJAB,TARN TARAN,2002,51,31,5,12,0,12,17,10,7,1,0,3,34,44,13,31,0,8,37,1,0,112,4,5,0,20,0,69,166,620
PUNJAB,TOTAL,2002,733,728,79,299,0,299,551,354,197,50,83,110,1928,2963,1267,1696,2,373,2716,39,68,4453,166,341,145,944,0,2310,9713,28794
RAJASTHAN,AJMER,2002,48,63,3,27,0,27,124,124,0,5,0,42,457,737,293,444,91,41,370,2,36,695,23,65,0,285,0,274,3595,6983
RAJASTHAN,ALWAR,2002,82,96,0,44,0,44,121,89,32,0,4,43,226,964,342,622,79,29,392,0,47,2364,42,115,1,250,0,238,1677,6814
RAJASTHAN,BANSWARA,2002,40,26,1,74,0,74,55,50,5,2,3,23,117,126,32,94,235,2,42,1,62,1402,10,92,1,85,0,69,747,3215
RAJASTHAN,BARAN,2002,30,89,0,51,0,51,89,88,1,0,1,13,188,466,67,399,69,17,126,1,28,332,6,188,4,160,0,60,1786,3704
RAJASTHAN,BARMER,2002,18,28,0,24,0,24,25,16,9,1,0,12,94,182,34,148,36,6,92,0,23,766,8,83,0,66,0,96,882,2442
RAJASTHAN,BHARATPUR,2002,87,81,4,59,0,59,109,79,30,0,2,48,148,709,147,562,18,47,303,2,59,1116,27,29,0,227,0,169,4060,7304
RAJASTHAN,BHILWARA,2002,30,46,4,46,0,46,196,164,32,0,0,48,361,752,281,471,219,27,355,4,28,557,4,134,6,339,0,196,3241,6593
RAJASTHAN,BIKANER,2002,40,90,0,24,0,24,21,21,0,0,0,6,122,367,77,290,9,24,169,1,20,646,13,34,0,142,0,42,1295,3065
RAJASTHAN,BUNDI,2002,21,95,9,38,0,38,109,83,26,2,0,24,216,389,72,317,135,11,109,0,31,978,7,151,3,225,0,97,1249,3899
RAJASTHAN,CHITTORGARH,2002,46,52,1,73,0,73,171,139,32,3,5,27,310,701,170,531,357,25,235,1,60,2308,7,121,1,330,0,131,1505,6470
RAJASTHAN,CHURU,2002,26,48,0,22,0,22,31,14,17,2,0,6,88,233,26,207,151,12,144,1,27,947,8,50,0,163,0,60,836,2855
RAJASTHAN,DAUSA,2002,21,25,2,16,0,16,47,27,20,0,0,6,83,383,115,268,145,24,107,0,28,156,5,10,0,82,0,129,2377,3646
RAJASTHAN,DHOLPUR,2002,42,89,0,26,0,26,58,45,13,4,1,18,78,190,32,158,373,8,74,1,7,972,25,43,0,78,0,72,652,2811
RAJASTHAN,DUNGARPUR,2002,24,16,1,21,0,21,43,40,3,0,0,13,88,80,19,61,204,12,27,0,40,142,4,58,1,42,0,82,1038,1936
RAJASTHAN,G.R.P.,2002,5,2,1,4,0,4,3,2,1,2,0,8,4,533,14,519,4,4,5,0,0,7,2,20,0,0,0,2,245,851
